scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2015,1,100,default age and gender,97557874,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2016,1,100,default age and gender,100274866,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2017,1,100,default age and gender,103028598,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2018,1,100,default age and gender,105816522,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2019,1,100,default age and gender,108636605,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2020,1,100,default age and gender,111486529,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2021,1,100,default age and gender,114361552,0.03798697423309933124,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2022,1,100,default age and gender,117259890,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2023,1,100,default age and gender,120181493,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2024,1,100,default age and gender,123127021,0.02857398856789626976,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2025,1,100,default age and gender,126096266,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2026,1,100,default age and gender,129087889,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2027,1,100,default age and gender,132098649,0.02038030572004562863,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2028,1,100,default age and gender,135124150,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2029,1,100,default age and gender,138159052,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2030,1,100,default age and gender,141198993,0.01321674874265480956,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2031,1,100,default age and gender,144240703,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2032,1,100,default age and gender,147284160,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2033,1,100,default age and gender,150328201,0.00691934292866812177,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2034,1,100,default age and gender,153372188,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2035,1,100,default age and gender,156415555,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2036,1,100,default age and gender,159455804,0.0030697714969973749,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2037,1,100,default age and gender,162492652,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2038,1,100,default age and gender,165526352,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2039,1,100,default age and gender,168557757,0.00290400685712731681,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,ETH,Ethiopia,2040,1,100,default age and gender,171587155,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2015,1,100,default age and gender,46485200,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2016,1,100,default age and gender,47664024,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2017,1,100,default age and gender,48835696,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2018,1,100,default age and gender,50003721,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2019,1,100,default age and gender,51174384,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2020,1,100,default age and gender,52352833,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2021,1,100,default age and gender,53537704,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2022,1,100,default age and gender,54729856,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2023,1,100,default age and gender,55933267,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2024,1,100,default age and gender,57152864,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2025,1,100,default age and gender,58391995,0.0264660518471966956,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2026,1,100,default age and gender,59653664,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2027,1,100,default age and gender,60933907,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2028,1,100,default age and gender,62228274,0.01850870114840201877,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2029,1,100,default age and gender,63530254,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2030,1,100,default age and gender,64834463,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2031,1,100,default age and gender,66137107,0.01146290668206126177,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2032,1,100,default age and gender,67439830,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2033,1,100,default age and gender,68742164,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2034,1,100,default age and gender,70044192,0.00520360696113284643,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2035,1,100,default age and gender,71345649,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2036,1,100,default age and gender,72644975,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2037,1,100,default age and gender,73941032,0.00315479455101465994,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2038,1,100,default age and gender,75231574,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2039,1,100,default age and gender,76514016,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,KEN,Kenya,2040,1,100,default age and gender,77786293,0.00299884151633245458,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2015,1,100,default age and gender,13272395,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2016,1,100,default age and gender,13646919,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2017,1,100,default age and gender,14032925,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2018,1,100,default age and gender,14432162,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2019,1,100,default age and gender,14846720,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2020,1,100,default age and gender,15278129,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2021,1,100,default age and gender,15728815,0.3019457168419871218,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2022,1,100,default age and gender,16196561,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2023,1,100,default age and gender,16680255,0.2847227647449034893,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2024,1,100,default age and gender,17178133,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2025,1,100,default age and gender,17688758,0.26848964298397887118,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2026,1,100,default age and gender,18212216,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2027,1,100,default age and gender,18747917,0.25332138606384912993,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2028,1,100,default age and gender,19295776,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2029,1,100,default age and gender,19855800,0.2391869539504829778,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2030,1,100,default age and gender,20427868,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2031,1,100,default age and gender,21012422,0.22602098512251467266,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2032,1,100,default age and gender,21608146,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2033,1,100,default age and gender,22214379,0.21379163109848806079,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2034,1,100,default age and gender,22830281,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2035,1,100,default age and gender,23455229,0.20248143048400848998,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2036,1,100,default age and gender,24089292,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2037,1,100,default age and gender,24731936,0.1920289750163513276,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2038,1,100,default age and gender,25383124,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2039,1,100,default age and gender,26042951,0.18236214168855133244,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SOM,Somalia,2040,1,100,default age and gender,26711513,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2015,1,100,default age and gender,10357620,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2016,1,100,default age and gender,10474696,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2017,1,100,default age and gender,10554888,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2018,1,100,default age and gender,10622070,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2019,1,100,default age and gender,10708404,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2020,1,100,default age and gender,10837092,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2021,1,100,default age and gender,11023230,0.07286790310099670875,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2022,1,100,default age and gender,11255522,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2023,1,100,default age and gender,11521196,0.06971842641163296383,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2024,1,100,default age and gender,11799619,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2025,1,100,default age and gender,12075530,0.06651796281405453204,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2026,1,100,default age and gender,12346394,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2027,1,100,default age and gender,12616163,0.06366750774383621303,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2028,1,100,default age and gender,12886377,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2029,1,100,default age and gender,13160632,0.06103351689341363073,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2030,1,100,default age and gender,13441386,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2031,1,100,default age and gender,13728477,0.05850901418270941512,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2032,1,100,default age and gender,14019565,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2033,1,100,default age and gender,14313992,0.05611569822730095441,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2034,1,100,default age and gender,14610895,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2035,1,100,default age and gender,14909609,0.05387395843177376215,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2036,1,100,default age and gender,15209863,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2037,1,100,default age and gender,15511404,0.05178381373472059485,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2038,1,100,default age and gender,15814123,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2039,1,100,default age and gender,16118052,0.04983478496657040013,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,SSD,South Sudan,2040,1,100,default age and gender,16423152,0,both
